Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
 vnet3: 50886215   40838    0    0    0     0          0         0 199065245  395878    0    0    0     0       0          0
virbr0-nic:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
    lo: 14396687   28013    0    0    0     0          0         0 14396687   28013    0    0    0     0       0          0
 vnet2: 2678149     626    0    0    0     0          0         0 42074518  413072    0    0    0     0       0          0
enp4s0: 7030446660 6023782    0    0    0     0          0    209169 1510681757 3465768    0    0    0     0       0          0
virbr0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
   br5: 37415403  431038    0 120738    0     0          0     81885 27202510   28004    0    0    0     0       0          0
 vnet1: 154509937 2299166    0    0    0     0          0         0 5805222608 4031907    0    0    0     0       0          0
 vnet4:  342641    2846    0    0    0     0          0         0 27381906  277232    0    0    0     0       0          0
 vnet0: 1233765415  404715    0    0    0     0          0         0 1019862404 1354433    0    0    0     0       0          0
enp6s0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
