Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
virbr0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 vnet1:  197391    1631    0    0    0     0          0         0 266462224 2419026    0    0    0     0       0          0
virbr0-nic:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
   br5: 242490035 2502653    0 812480    0     0          0    298156 24360550   85999    0    0    0     0       0          0
 vnet0: 1371120640 15767735    0    0    0     0          0         0 41176645465 27660916    0  341    0     0       0          0
enp4s0: 41733493740 34609552    0    0    0     0          0    718737 1703779323 17606035    0    0    0     0       0          0
 vnet3:  155479    1419    0    0    0     0          0         0 269109757 2418307    0    0    0     0       0          0
    lo:  355942     914    0    0    0     0          0         0   355942     914    0    0    0     0       0          0
enp6s0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 vnet2: 293753067 1534219    0    0    0     0          0         0 371838605 3613896    0    0    0     0       0          0
